event num., track num., layer ID, staveID, chipID, row, column, global_x, global_y, global_z, trackType, vtxX, vtxY, vtxZ
000000, 016, 00, 08, 03, 0000, 0000, -0.306568, -2.45618, -2.66363,   1, -0.0252264, -0.125063, -3.55768
000000, 016, 01, 11, 03, 0000, 0000,  -0.3955, -3.25136, -2.36295,   1, -0.0252264, -0.125063, -3.55768
000000, 016, 02, 14, 03, 0000, 0000, -0.486622,  -4.0866, -2.04716,   1, -0.0252264, -0.125063, -3.55768
000000, 022, 00, 08, 03, 0000, 0000, -0.306568, -2.45618, -2.66363,   1, -0.0252264, -0.125063, -3.55768
000000, 022, 01, 11, 03, 0000, 0000,  -0.3955, -3.25136, -2.36295,   1, -0.0252264, -0.125063, -3.55768
000000, 022, 02, 14, 03, 0000, 0000, -0.486622,  -4.0866, -2.04716,   1, -0.0252264, -0.125063, -3.55768
000001, 019, 00, 05, 00, 0000, 0000, -2.45685,  0.19457, -11.7934,   1, -0.0256742, 0.0895655, -9.11267
000001, 019, 01, 07, 00, 0000, 0000, -3.23322, 0.217671, -12.6506,   1, -0.0256742, 0.0895655, -9.11267
000001, 019, 02, 09, 00, 0000, 0000, -4.04906, 0.236755, -13.5469,   1, -0.0256742, 0.0895655, -9.11267
000002, 001, 00, 10, 06, 0000, 0000,  2.16237, -1.17153,  6.06509,   1, 0.0877786, -0.089727,  6.63915
000002, 001, 01, 14, 06, 0000, 0000,  2.86948, -1.55299,  5.86918,   1, 0.0877786, -0.089727,  6.63915
000002, 001, 02, 18, 06, 0000, 0000,  3.69029, -2.00139,  5.64111,   1, 0.0877786, -0.089727,  6.63915
000003, 003, 00, 05, 02, 0000, 0000, -2.45287, 0.852222,  -7.2995,   1, 0.0564227, 0.0409049, -5.88873
000003, 003, 01, 07, 01, 0000, 0000,  -3.3279,  1.14559, -7.79499,   1, 0.0564227, 0.0409049, -5.88873
000003, 003, 02, 08, 01, 0000, 0000, -3.80576,  1.30803, -8.06546,   1, 0.0564227, 0.0409049, -5.88873
000004, 015, 00, 00, 05, 0000, 0000,  2.48954, 0.595223,  3.17085,   1, 0.0349402, 0.237985, -0.525248
000004, 015, 01, 00, 05, 0000, 0000,  3.22855, 0.742795,  4.07349,   1, 0.0349402, 0.237985, -0.525248
000004, 015, 02, 00, 06, 0001, 0000,  3.99011, 0.893805,  5.00368,   1, 0.0349402, 0.237985, -0.525248
000004, 016, 00, 03, 05, 0000, 0000, -0.600129,  2.48675,  2.16704,   1, 0.113695, 0.0759959, 0.183135
000004, 016, 01, 04, 05, 0000, 0000, -0.79485,  3.20049,  2.74745,   1, 0.113695, 0.0759959, 0.183135
000004, 016, 02, 05, 05, 0000, 0000, -0.993196,  3.94046,  3.34882,   1, 0.113695, 0.0759959, 0.183135
000008, 013, 00, 02, 06, 0000, 0000, 0.355399,  2.45588,  6.56948,   1, 0.0693519, 0.00254182,  7.55169
000008, 013, 01, 03, 06, 0000, 0000,  0.44096,    3.256,  6.25369,   1, 0.0693519, 0.00254182,  7.55169
000008, 013, 02, 04, 06, 0000, 0000, 0.527824,  4.09279,  5.92474,   1, 0.0693519, 0.00254182,  7.55169
000008, 014, 00, 09, 06, 0000, 0000, 0.408579,  -2.5958,  6.29316,   1, 0.0690449, 0.00281084,  7.55228
000008, 014, 01, 12, 06, 0000, 0000, 0.501448, -3.35865,   5.9262,   1, 0.0690449, 0.00281084,  7.55228
000008, 014, 02, 15, 06, 0000, 0000, 0.594028, -4.13987,  5.54998,   1, 0.0690449, 0.00281084,  7.55228
